,id,symbol_id,candle_type,open_price,high_price,low_price,close_price,volume,vtt,atp,total_buy_quantity,total_sell_quantity,lower_circuit,upper_circuit,bids,asks,date,created_at,modified_at,stoch,stoch_signal
42,707159,585,M5,228.2,228.65,223.75,224.5,1707416,,,,,,,{},{},2019-10-29 12:45:00.000000,2019-11-01 16:56:54.456346,2019-11-01 10:03:16.765308,66.76470588235291,81.73546611627101
43,707160,585,M5,224.5,226.5,223.65,226.0,1032903,,,,,,,{},{},2019-10-29 12:50:00.000000,2019-11-01 16:56:54.461639,2019-11-01 10:03:16.765365,75.58823529411762,76.96078431372543
44,707161,585,M5,225.8,226.45,225.0,225.75,372543,,,,,,,{},{},2019-10-29 12:55:00.000000,2019-11-01 16:56:54.467309,2019-11-01 10:03:16.765421,74.11764705882351,72.156862745098
45,707162,585,M5,225.75,228.7,225.3,227.55,955007,,,,,,,{},{},2019-10-29 13:00:00.000000,2019-11-01 16:56:54.471302,2019-11-01 10:03:16.765478,84.7058823529412,78.13725490196076
46,707163,585,M5,227.6,228.0,226.35,227.6,450097,,,,,,,{},{},2019-10-29 13:05:00.000000,2019-11-01 16:56:54.475564,2019-11-01 10:03:16.765539,84.99999999999993,81.27450980392153
47,707164,585,M5,227.6,227.75,226.5,226.7,310118,,,,,,,{},{},2019-10-29 13:10:00.000000,2019-11-01 16:56:54.479633,2019-11-01 10:03:16.765597,78.57142857142846,82.7591036414565
48,707165,585,M5,226.65,227.75,226.6,227.1,291851,,,,,,,{},{},2019-10-29 13:15:00.000000,2019-11-01 16:56:54.484402,2019-11-01 10:03:16.765654,81.05590062111793,81.54244306418207
49,707166,585,M5,227.05,227.5,224.75,226.2,699190,,,,,,,{},{},2019-10-29 13:20:00.000000,2019-11-01 16:56:54.488354,2019-11-01 10:03:16.765711,75.15723270440242,78.26152063231622
50,707167,585,M5,226.25,226.25,222.55,224.45,1078351,,,,,,,{},{},2019-10-29 13:25:00.000000,2019-11-01 16:56:54.492589,2019-11-01 10:03:16.765769,39.037433155079995,65.08352216020008
51,707168,585,M5,224.1,225.0,223.0,223.65,595848,,,,,,,{},{},2019-10-29 13:30:00.000000,2019-11-01 16:56:54.496457,2019-11-01 10:03:16.765838,16.66666666666679,43.620444175383035
52,707169,585,M5,223.6,223.7,220.5,220.85,994837,,,,,,,{},{},2019-10-29 13:35:00.000000,2019-11-01 16:56:54.501076,2019-11-01 10:03:16.765905,3.6269430051812863,19.77701427564266
53,707170,585,M5,220.95,222.6,220.55,222.25,870056,,,,,,,{},{},2019-10-29 13:40:00.000000,2019-11-01 16:56:54.505414,2019-11-01 10:03:16.765963,18.134715025906726,12.80944156591824
54,707171,585,M5,222.1,222.55,221.0,221.85,378225,,,,,,,{},{},2019-10-29 13:45:00.000000,2019-11-01 16:56:54.509604,2019-11-01 10:03:16.766020,13.989637305699414,11.917098445595784
55,707172,585,M5,221.8,225.8,221.7,225.35,1335463,,,,,,,{},{},2019-10-29 13:50:00.000000,2019-11-01 16:56:54.513800,2019-11-01 10:03:16.766077,59.14634146341465,30.42356459834024
56,707173,585,M5,225.2,225.3,223.2,223.2,403948,,,,,,,{},{},2019-10-29 13:55:00.000000,2019-11-01 16:56:54.518327,2019-11-01 10:03:16.766134,32.92682926829259,35.354269345802194
57,707174,585,M5,223.2,224.9,223.2,224.55,280308,,,,,,,{},{},2019-10-29 14:00:00.000000,2019-11-01 16:56:54.523186,2019-11-01 10:03:16.766191,49.39024390243923,47.15447154471547
58,707175,585,M5,224.55,225.2,223.7,224.25,283033,,,,,,,{},{},2019-10-29 14:05:00.000000,2019-11-01 16:56:54.527326,2019-11-01 10:03:16.766248,45.73170731707324,42.68292682926833
59,707176,585,M5,224.4,225.0,223.75,223.95,336085,,,,,,,{},{},2019-10-29 14:10:00.000000,2019-11-01 16:56:54.531318,2019-11-01 10:03:16.766309,45.99999999999985,47.040650406504085
60,707177,585,M5,223.9,223.95,222.0,222.6,524179,,,,,,,{},{},2019-10-29 14:15:00.000000,2019-11-01 16:56:54.535656,2019-11-01 10:03:16.766370,28.96551724137923,40.23240818615076
61,707178,585,M5,222.45,223.75,222.4,222.55,323332,,,,,,,{},{},2019-10-29 14:20:00.000000,2019-11-01 16:56:54.540030,2019-11-01 10:03:16.766429,28.275862068965672,34.41379310344823
